  Element 87: Fr      Atomic mass:  223.0000

  Edge          keV         A
    K       101.1370    0.1226
    L-I      18.6390    0.6652
    L-II     17.9065    0.6924
    L-III    15.0312    0.8248
    M1        4.6520    2.6652
    M2        4.3270    2.8654
    M3        3.6630    3.3848
    M4        3.1362    3.9533
    M5        2.9997    4.1332
    N1        1.1530   10.7532

Scattering factors as a function of energy: 

   18692.00      -6.922685       11.32457    
   18697.00      -6.869414       11.31994    
   18700.00      -6.839263       11.31717    
   18702.00      -6.819847       11.31532    
   18707.00      -6.773390       11.31070    
   18712.00      -6.729640       11.30608    
   18717.00      -6.688228       11.30146    
   18722.00      -6.648855       11.29684    
   18727.00      -6.611316       11.29223    
   18732.00      -6.575386       11.28762    
   18737.00      -6.540928       11.28301    
   18800.00      -6.196907       11.22521    
   18900.00      -5.800650       11.13426    
   19000.00      -5.494659       11.04425    
   19100.00      -5.238462       10.95518    
   19200.00      -5.015123       10.86703    
   19300.00      -4.815708       10.77979    
   19400.00      -4.634809       10.69344    
   19500.00      -4.468860       10.60798    
   19600.00      -4.360846       10.52479    
   19700.00      -4.218700       10.44345    
   19800.00      -4.085629       10.36301    
   19900.00      -3.960511       10.28345    
   20000.00      -3.842455       10.20477    
   20100.00      -3.730723       10.12695    
   20200.00      -3.627764       10.05000    
   20300.00      -3.526950       9.973901    
   20400.00      -3.430886       9.898625    
   20500.00      -3.339190       9.824159    
   20600.00      -3.251530       9.750487    
   20700.00      -3.167612       9.677601    
   20800.00      -3.087179       9.605488    
   20900.00      -3.009997       9.534135    
   21000.00      -2.935862       9.463531    
   21100.00      -2.864588       9.393667    
   21200.00      -2.796007       9.324532    
   21300.00      -2.729968       9.256114    
   21400.00      -2.666329       9.188402    
   21500.00      -2.604966       9.121388    
   21600.00      -2.545760       9.055061    
   21700.00      -2.488606       8.989411    
   21800.00      -2.433404       8.924431    
   21900.00      -2.380061       8.860108    
   22000.00      -2.328493       8.796434    
   22100.00      -2.278621       8.733400    
   22200.00      -2.230370       8.670998    
   22300.00      -2.183673       8.609220    
   22400.00      -2.138464       8.548054    
   22500.00      -2.094683       8.487494    
   22600.00      -2.052273       8.427531    
   22700.00      -2.011180       8.368158    
   22800.00      -1.971356       8.309368    
   22900.00      -1.932751       8.251151    
   23000.00      -1.895321       8.193500    
   23100.00      -1.859023       8.136407    
   23200.00      -1.823814       8.079865    
   23300.00      -1.803585       8.023998    
   23400.00      -1.770657       7.969146    
   23500.00      -1.738719       7.914836    
   23600.00      -1.707713       7.861061    
   23700.00      -1.677608       7.807813    
   23800.00      -1.648374       7.755086    
   23900.00      -1.619982       7.702871    
   24000.00      -1.592405       7.651163    
   24100.00      -1.565617       7.599954    
   24200.00      -1.539594       7.549237    
   24300.00      -1.535909       7.499630    
   24400.00      -1.511738       7.450796    
   24500.00      -1.488236       7.402457    
   24600.00      -1.466622       7.354609    
   24700.00      -1.444392       7.307248    
   24800.00      -1.423262       7.260364    
   24900.00      -1.402226       7.213949    
